id,id_long,WIGOS,short_name,location,radar_type,postchange_start,prechange_end,site_lat,site_lon,ge_ground_altitude,site_alt,status,band,doppler,dp,eth_dhz_threshold,beamwidth,state,notes
54,054_1,,Kurnell,Sydney (Kurnell),WF100-6C,23/02/1999,-,-34.0148,151.2263,39,63.76,OK,C,Yes,,0,1,NSW,
55,055_1,0-20000-0-94910,Wagga,Wagga Wagga,WF100C-8,1/03/1997,-,-35.1582,147.4563,221,229.374,OK,C,,,18,1.7,NSW,
56,056_1,0-20000-0-94346,Longrch,Longreach,WF100C-8,18/12/2000,-,-23.4398,144.2822,193,201.574,OK,C,,,18,1.7,QLD,
57,057_1,,Esale,East Sale,WF44,3/08/1996,5/05/2008,-38.12,147.13,7,17,OK,S,,,18,3,VIC,
58,058_1,,SthDood,South Doodlakine,Wur2502C-8,15/02/2017,-,-31.7778,117.9528,392,416.016,OK,C,Yes,,0,1.7,WA,
63,063_1,,Berrima,Darwin (Berrimah),WF100C,10/02/1995,8/10/2014,-12.4559,130.9265,36,59.975,OK,C,Yes,,0,1,NT,
63,063_2,,Berrima,Darwin (Berrimah),Wur2502C-14,9/10/2014,-,-12.4559,130.9265,36,59.975,OK,C,Yes,,0,1,NT,
64,064_1,,BuckPk,Adelaide (Buckland Park),Meteor1500S,27/10/2005,28/01/2018,-34.6169,138.4689,7,28.993,OK,S,Yes,,0,1,SA,
64,064_2,,BuckPk,Adelaide (Buckland Park),Meteor1500S,29/01/2018,-,-34.6169,138.4689,7,28.993,OK,S,Yes,Yes,0,1,SA,
65,065_1,0-20000-0-94238,Tennant,Tennant Creek,WF100C,10/07/2007,30/06/2015,-19.6423,134.1832,371,394,OK,C,,,18,1.8,NT,
66,066_1,,MtStapl,Brisbane (Mt Stapylton),Meteor1500S,8/06/2006,22/08/2017,-27.7178,153.24,153,174.993,OK,S,Yes,,0,1,QLD,
66,066_1,,MtStapl,Brisbane (Mt Stapylton),Meteor1500S,21/09/2017,-,-27.7178,153.24,153,174.993,OK,S,Yes,Yes,0,1,QLD,
67,067_1,,Warrego,Warrego,TVDR2500-8,6/10/2006,5/10/2020,-26.44,147.3492,515,534.374,OK,C,,,18,1.7,QLD,
67,067_2,,Warrego,Warrego,TVDR2500-8,6/10/2020,-,-26.44,147.3492,515,534.374,OK,C,Yes,,18,1.7,QLD,
68,068_1,0-20000-0-08518,Bnsdale,Bairnsdale,DWSR8502C,6/05/2008,31/08/2020,-37.8876,147.5755,50,65.316,OK,C,,,18,1.7,VIC,
68,068_2,0-20000-0-08518,Bnsdale,Bairnsdale,Wur2502C-8,19/10/2020,-,-37.8876,147.5755,50,65.316,OK,C,Yes,,0,1.7,VIC,
69,069_1,0-20000-0-05528,Namoi,Namoi (Blackjack Mountain),DWSR8502S-14,2/06/2010,-,-31.02419,150.1919,670,720.045,OK,S,Yes,,0,1.9,NSW,
70,070_1,0-20000-0-00927,Serptin,Perth (Serpentine),TVDR2500,2/02/2010,29/08/2022,-32.3917,115.867,20,42.443,OK,C,Yes,,0,1,WA,
70,070_2,0-20000-0-00927,Serptin,Perth (Serpentine),Meteor1700S,29/11/2022,-,-32.3917,115.867,20,42.443,OK,S,Yes,Yes,0,1,WA,
71,071_1,,THills,Sydney (Terrey Hills),Meteor1500S,15/05/2009,31/08/2017,-33.7008,151.2094,200,223.493,OK,S,Yes,,0,1,NSW,
71,071_2,,THills,Sydney (Terrey Hills),Meteor1500S,21/09/2017,-,-33.7008,151.2094,200,223.493,OK,S,Yes,Yes,0,1,NSW,
72,072_1,,Emerald,Emerald,DWSR8502S-14,9/03/2010,-,-23.5498,148.2392,187,211.275,OK,S,Yes,,0,1.9,QLD,
73,073_1,0-20000-0-03332,HrvyRng,Townsville (Hervey Range),DWSR2502C-14,3/08/2011,-,-19.4198,146.5509,573,612.525,OK,C,Yes,,0,1,QLD,
74,074_1,,Grnvale,Greenvale,Meteor1700S,30/11/2021,-,-18.9976,144.9959,492,512,CHECK,S,Yes,Yes,0,1,QLD,
75,075_1,0-20000-0-02918,MntIsa,Mount Isa,DWSR8502S-14,14/09/2012,-,-20.7112,139.5552,494,516.675,OK,S,Yes,,0,1.9,QLD,
76,076_1,,Koonya,Hobart (Mt Koonya),Wur2502C-14,22/03/2012,-,-43.1126,147.8052,477,511.654,OK,C,Yes,,0,1,TAS,
77,077_1,0-20010-0-3046,Arafura,Warruwi,Wur2502C-14,15/11/2012,-,-11.6485,133.38,20,43.69,OK,C,Yes,,0,1,NT,
78,078_1,0-20000-0-94170,Weipa78,Weipa,Wur2502C-14,12/10/2015,-,-12.6664,141.9247,26,43.675,OK,C,Yes,,0,1,NT,
79,079_1,,Wathroo,Watheroo,Wur2502C-8,10/05/2017,-,-30.36,116.2896,346,366.986,OK,C,Yes,,0,1.7,WA,
93,093_1,,Brewarr,Brewarrina,Meteor735C,1/12/2020,-,-29.9708,146.8136,127,149.364,OK,C,Yes,Yes,0,1,NSW,
94,094_1,,Hillston,Hillston,Meteor735C,30/07/2021,-,-33.552,145.5286,118,144.034,OK,C,Yes,Yes,0,1,NSW,
95,095_1,,Rainbow,Rainbow (Wimmera),Meteor735C,30/03/2020,-,-35.9976,142.0133,124,148.584,OK,C,Yes,Yes,0,1,VIC,
96,096_1,,Yeoval,Yeoval,Meteor735C,26/05/2022,-,-32.7444,148.7081,459,486.824,OK,C,Yes,Yes,0,1,NSW,
97,097_1,,Mild_DP,Mildura,Meteor735C,15/03/2021,-,-34.28713,141.5982,60,80,CHECK,C,Yes,Yes,0,1,VIC,
98,098_1,,Taroom,Taroom,Meteor1700S,14/05/2022,-,-25.6962,149.8982,271,312.443,OK,S,Yes,Yes,0,1,QLD,
105,105_1,,BrisAP,Meteopress C-band,MPressC-8,2/11/2022,-,-27.3915,153.13,6,12.066,OK,C,Yes,Yes,0,1.7,QLD,
106,106_1,,Townsville,Townsville,Meteor1700S,6/11/2024,-,-19.4198,146.5509,573,594.96,OK,S,Yes,Yes,0,1,QLD,
107,107_1,,Rchmond,Richmond,Meteor1700S,29/09/2022,-,-20.7518,143.1414,214,245.443,OK,S,Yes,Yes,0,1,QLD,
108,108_1,,Toowoomba,Toowoomba,Meteor1700S,18/04/2024,-,-27.274,151.993,757,780.97,OK,S,Yes,Yes,0,1,QLD,
111,111_1,,Karratha,Karratha,Meteor1700S,16/10/2024,-,-20.9924,116.8758,181,213.013,OK,S,Yes,Yes,0,1,WA,
112,112_1,,Gove,Gove,WRM200-14,6/07/2023,-,-12.275,136.8199,54,63.225,OK,C,Yes,Yes,0,1,NT,
114,114_1,,Carnarvon,Carnarvon (Gascoyne),Wur2502C-8,6/07/2023,-,-24.8879,113.6693,4,27.574,OK,C,Yes,,0,1,WA,
